headline,predicted_category
Six from Hyderabad killed in A.P. while returning after casting vote,manmade
"16-year-old, mother killed in accident",manmade
HYD: ట్యాంకర్‌ డ్రైవర్ల ధర్నా విరమణ.. బంకుల వద్ద రద్దీ,manmade
"Viral Video | బైక్‌ను ఢీకొట్టి రెండు కిలోమీట‌ర్లు ఆప‌కుండా ఈడ్చుకెళ్లిన‌ 
లారీ డ్రైవ‌ర్..",manmade
Ilyas Sharfuddin booked for alleged hate video,manmade
"Telangana Drug Control Administration, Hyderabad police unearth illegal 
pharma unit in Uttarakhand",manmade
A dark Diwali for firecracker sellers in Telangana,manmade
"India faced terror during Cong rule, borders now secure under PM: Yogi",manmade
Medak Ordnance Factory joins stir,manmade
"India faced terror during Cong rule, borders now secure under PM: Yogi",manmade
