headline,content,status,category|
Article Error,Article Error,0,natural
ANA says it will resume JVs with Lufthansa and United after restructure,"By Alex Lennane 04/10/2023

NYK Line’s sale of Nippon Cargo Airlines to All Nippon Airways’ (ANA) has been delayed for four months – but ANA’s consequent suspension of its joint-ventures with United Airlines and Lufthansa is a temporary measure, it says, it wants to resume the JVs after it has restructured.

Its interline agreements with the two carriers remain in place.

ANA said last week it was delaying its takeover of NCA, which was due to happen on Sunday. It said the share exchange would now take place on 1 February.

“Taking into consideration the time to complete the review of the business combination that will result from the share exchange by the relevant authorities in Japan and foreign countries, etc, the company decided to change the effective date of the share exchange,” it said.

The balance sheets of the two carriers will be consolidated from the fourth quarter of the fiscal year ending March 2024.

The airline also announced it was suspending its hitherto successful partnerships with Lufthansa and United. But a spokesperson told The Loadstar: “Technically, the joint-venture partnerships with United and Lufthansa Cargo will not be terminated, but suspended. While we will focus on the restructuring of our cargo business at hand, ANA hopes to resume the joint-venture in the future.”

The spokesperson added: “With the suspension of the joint-venture partnership, coordination of flight schedules, pricing and cargo space will be halted. However, as an interline agreement is in place with United and Lufthansa Cargo, ANA will continue to be able to offer space on the respective partner airlines, and vice versa.”

ANA operates four 767 freighters and two 777 freighters; NCA has eight 747 freighters, which ANA has pledged to take on.

The sale of NCA by NYK Line, announced in March, bucked the trend for shipping lines working with airlines. NYK acquired the airline fully in 2010, “with the aim of becoming a comprehensive logistics company offering ocean, land and air transport”.

However, it said costs were too high, after NCA became plagued with aircraft maintenance issues. NYK said at the time: “The continuous introduction of new aircraft to expand the operation and maintenance system, and the continuous training of personnel engaged in operation and maintenance required a considerable expenditure.

“In the highly volatile business environment of airfreight, NCA has been facing challenges in expanding its business scale at a level that is commensurate with such costs.”",0,transport
Water waste,"Bengaluru

Shreya Nath

Not woke on water The BWSSB has 35 STPs (Sewage Treatment Plants) located across the city, and it supplies the recycled water up to a five km radius from these plants.

Sneha Singh

Bengaluru Water Supply

BWSSB

It’s estimated that almost 40 per cent of the freshwater in the city is used for non-potable purposes and can be replaced by (unused) treated wastewater ­ –Shreya Nath, CSEI

Of 1,265 MLD, most treated, reusable wastewater ingoes to waste; experts say this can change, study suggests waysBengaluru generates around 2,000 MLD of wastewater each day, of which 735 MLD goes untreated and 1,265 MLD is treated in centralised and decentralised sewage treatment plants (STPs). Most of the treated water doesn’t get used and is discharged into stormwater channels, stated a study conducted by Centre for Social and Environmental Innovation (CSEI), Ashoka Trust for Research in Ecology and Environment (ATREE). Experts said, this wastewater can, instead, be put to many uses (other than drinking).“It’s estimated that almost 40 per cent of the freshwater in the city is used for non-potable purposes and can easily be replaced by (unused) treated wastewater. The reuse purpose should be determined based on the quality of the reclaimed water. For example, reclaimed water of very high quality can be used for construction purposes. Water of lower quality, still complying with the pollution control board’s standards, can be used for greening public spaces,” said, director of Cities and Towns, CSEI.Further, the study highlights: While the city has a large number of apartment-scale STPs, gated communities are unable to comply with the mandate of 100 per cent wastewater reuse.Urban local bodies have been promoting decentralised sewage treatment to build typologies that house large populations like multistorey apartments and commercial complexes to help bridge the sewage gap in cities.“We conducted interviews with resident welfare associations of 20 apartment complexes to get a better understanding and overview of the ground reality. We found that almost 50 per cent of the apartment complexes did not comply with the Zero Liquid Discharge (ZLD) mandate,” said Nath.ZLD is a water treatment process, dating back to the ‘70s, where all water is recovered and contaminants are reduced to solid waste.The interviews revealed smaller apartment complexes with less than 50 units found it particularly difficult to utilise excess treated wastewater due to low demand.“Wastewater treatment at a smaller scale tends to generate very high operation and maintenance costs. Therefore, the systems are usually not well maintained. Capital investment is another big factor… Mechanical equipment such as blowers and pumps associated with treatment systems for a 50 KLD plant versus a 500 KLD is not very different, but the access to the capital investment based on the unit sales for different plants is very different. So, the smaller plants are often under-designed,” said, the urban water management lead at CSEI.As per the study, a viable way to reuse the wastewater in the city can be found in the construction industry.In 2019,and Sewerage Board () mandated the use of treated wastewater from decentralised STPs for construction. Despite this, most builders and architects are hesitant to reuse the water for construction.According to Singh, the key to using reclaimed water in the construction industry is to establish a baseline of the quality of water required for safe reuse. The next steps would be to find high quality water and set up good monitoring protocols and a robust transportation network.“Once the baseline is established it will go a long way in building trust in wastewater safety, which is a concern among new homebuyers. We have partnered with two start-ups that aim to bridge these gaps and focus on water quality and quantity monitoring. We are looking at creating a live interface that links buyers and sellers and facilitates wastewater transportation,” said Nath.",0,industrial
What India should do to bridge skilled manpower shortage in infra,"



(You can now subscribe to our

(You can now subscribe to our Economic Times WhatsApp channel

“Jobs requiring a combination of digital and non-cognitive skills is expected to tend to be better in demand”India's population growth and economic development requires robust infrastructure in roads, railways, aviation & ports etc. There has been emphasis on balanced development in all sectors of infrastructure whether it is roads, railways, ports, real estate, water, aviation, energy or even buildings of national importance. India on cusp of returning to high growth trajectory, will become world’s third largest economy by 2027-28 as mentioned by Arvind Panagariya , Eminent economist. India's goal of achieving a $5 trillion economy by 2025 can be met by promoting quality and time-bound development plans. According to IBEF report, the infrastructure sector in India is predicted to grow at a CAGR of 8.2 per cent by 2027. Signifying the need for robust enhancement of the sector, the government has also allocated Rs 10 lakh crore in the Union Budget 2022-23.The truth remains that with the anticipated pace of infrastructure development, growth of skilled manpower will be the key. New technologies will reshape millions of jobs. Technology will be enabler for creating new types of jobs, digital technologies will change the ways of doing the job. Jobs requiring a combination of digital and non-cognitive skills is expected to tend to be better in demand. This will lead to a surge in the activities in the infrastructure sector resulting in increased employment opportunities.The big question remains is that whether India, having second largest network of road and rail with provision of continuous expansions in capacity, has enough resources in terms of skilled manpower to contribute and continue with the anticipated pace of development in years to come. On one side, resources are being allocated in different budgets for implementing of various projects but more importantly, we will need skilled and trained manpower in design and value engineering, risk management, project management capabilities specially for the major projects.The fact remains that the growth of skilled manpower has not kept pace with the increased demand. In the current scenario, we must review carefully what initiatives have been taken or to be taken by the government, corporates, academia in terms of basic skills development, digital transformation, employment of tools for monitoring and importantly, building long term capabilities to monitor the quality, cost and timelines of the projects being undertaken by various state and Centre governments.As per a report by IBEF, India has become the third-largest domestic aviation market in the world and is expected to overtake the UK to become the third-largest air passenger market by 2024 and India currently has the fifth-largest metro network in the world and will soon overtake advanced economies such as Japan and South Korea to become the third-largest network. As per ICRA , road construction will clock 16-21 per cent rise in FY24, while road construction activity is expected to pick up, EPC (engineering procurement construction) segment will continue to remain the mainstay of awarding, accounting for 70-75 per cent of awards in FY24. With such a pace of growth, structural capacity will be breached by 2022, or if growth trajectories resume soon, capacity limits will be brimmed even faster. As the world come to terms with the new normal, possibilities cannot be ignored.The government has also undertaken several steps to revitalize the highways and goods carriage infrastructure sector. It has a sound expansion potential.Government’s emphasis on self-reliance or ‘aatmanirbharata’ in the socio-economic development of the country has enabled India to pool in versatile professionals with expertise and skills across a vast and ramified spectrum of skillsets. The need for specialists with experience and expertise are required to offer sustainable solutions to Indian infrastructure needs. The demand for the services is expected to grow in India, promoting the growth of the consultancy sector.The demand-supply gap of skilled professionals will become a serious bottleneck in terms of quality, costs and timely completion of projects if there are no serious efforts from the government, academia, and corporate sector in the immediate future. It is equally important that new professional skills in digital transformation, latest technological advancement in designs, construction technology, project management are adopted to by upskilling human capital so that future generation staff can act as a change maker to the modern India.The infrastructure sector has been one of the prime drivers to boost the economic development and will always involve immense use of human capital and technology and unless we try to bridge the gap by upskilling our resources, the dream of achieving $5 trillion economy will be a distant dream. More diverse, widely geographically distributed skilled manpower in engineering as well as digital technology will pave the way for the future.To overcome the skill shortage in the infrastructure sector and ensure sustained growth, a multi-faceted approach is needed. Firstly, the government, academia, and corporate sector must collaborate to design and implement comprehensive skill development programs. These initiatives should focus on both traditional engineering skills and cutting-edge digital technologies, enabling the workforce to meet the demands of a rapidly-evolving industry.Secondly, there should be a strong emphasis on upskilling the existing workforce to adapt to the changing technological landscape. Investing in training and development programs will empower professionals to embrace digital transformation and adopt modern construction techniques.Furthermore, promoting vocational education and apprenticeship programmes will create a steady pipeline of skilled manpower. By engaging with educational institutions and industry experts, these initiatives can align the curriculum with the specific needs of the infrastructure sector.Moreover, the government should foster an environment that encourages research and innovation. This will attract top talent to the infrastructure domain and promote the development of advanced technologies.Lastly, promoting the growth of the consultancy sector can address the demand for specialized expertise. Engaging experienced professionals in consulting roles will enhance project efficiency and quality.By implementing these measures, India can bridge the skill gap and build a skilled workforce capable of supporting the ambitious growth targets of the infrastructure sector. A well-prepared workforce, equipped with the latest skills and knowledge, will not only accelerate economic development but also solidify India's position as a global economic powerhouse.(The writer is MD, India and South Asia, Egis)",0,industrial
India signals change through vessel age limits,"India is taking further steps to lower the footprint its shipping trade leaves. Several measures will be introduced, including the ban of tankers and bulkers older than 25 years, and gas and container vessels older than 30 years, from making port calls in India. Furthermore, secondhand vessels purchased that are older than 20 years will be refused Indian flag registration.

On the face of it, VesselsValue data shows the portion of the global fleet that would be excluded from trading with India is significant; 15% of the tanker fleet and 10% of the gas fleet will be taken out of the supply pool.

However, when observing the utilisation of these older vessels for journeys that end in India, VesselsValue trade data shows the scale of restrictions is fairly limited. Looking specifically at 2022 tanker journeys that completed in India, performed by vessels aged greater than 25 years, only 130 journeys were made, of which 105 were domestic, and by 11 unique vessels. The past year saw 6,259 journeys ending in India made by vessels younger than 25 years of age; this represents 98% of all tanker journeys.

*Tanker vessel types: VLCC, Suezmax, Aframax, Post Panamax MT, Panamax MT or Handy Tanker.

The distribution in age of bulkers whose journeys finish in Indian ports in 2022 further shows the proposed changes will not significantly limit the supply of vessels to the Indian market. Most vessels that visit India are built post-2009, and while the tail is long, it does not pose an immediate shock to the market.

While the proposed rules by India do not have a significant impact in terms of vessels restricted, they do signal an intention to reduce the environmental impact of global trade. The global fleet continues to be updated with more efficient vessels that use cleaner fuels with innovative green features on board. With that being said, those vessels that have either reached the end of their economic life, or those that operate inefficiently, may become limited in the markets that they can serve.",0,transport
Karnataka truck drivers to go on indefinite strike from January 17,"Truck drivers across Karnataka will go on an indefinite strike starting from January 17, announced the Federation of Karnataka Lorry Owners’ Association on Saturday. The strike is to protest against the stringent laws for hit-and-run cases under the new Bharatiya Nyay Sanhita (BNS) Karnataka truck drivers to go on indefinite strike from January 17

Also Read - Bengaluru's Phoenix Mall of Asia and authorities to tackle traffic together: Report

Hindustan Times - your fastest source for breaking news! Read now.

Speaking to reporters, C Naveen Reddy, president of the Federation of Karnataka Lorry Owners’ Association, said, “Though the union government called us for discussions on this unruly law, the officials have not given anything in writing. This is a unilateral decision by the union government, and they did not consult us before arriving at such a hasty decision.”

Reddy also said that all truck drivers in the state will support the strike and keep their vehicles off-road. “We already informed all the truck drivers in the state, and we will be going on a strike. All heavy vehicles will go off-road from January 17,” he added.

Truck drivers, taxi and bus operators started a nationwide strike to oppose the provision of ₹7 lakh penalty and 10-year jail term for hit-and-run cases under the newly passed Bharatiya Nyaya Sanhita. The All-India Motor Transport Congress said that these provisions, which have yet to come into force, can lead to undue harassment and must be recalled with immediate effect.

However, on January 2, the All India Motor Transport Association (AIMTC) decided to end the nationwide truck drivers protests the new hit-and-run law, after a meeting with Union Home Secretary Ajay Bhalla. The government assured the members of the transport body that the new laws have not been implemented yet and will only be implemented after consultation with AIMTC.",1,transport
"Bengaluru’s Water Crisis Prompts Ban on Drinking Water for Non-Essential Needs, with a ₹5,000 Penalty","March 08, 2024 01:04 pm | Updated 11:04 pm IST - Bengaluru

In response to the water scarcity in Bengaluru and surrounding districts, the Bengaluru Water Supply and Sewage Board (BWSSB) has issued an order prohibiting the use of potable water for non-essential purpose, including washing vehicles, gardening, and for entertainment purposes like water fountains. Additionally, malls and theatres have been instructed to limit water usage to drinking, road construction, and cleaning purpose only.

The BWSSB has introduced fines for violators, starting at ₹5,000 and escalating to ₹500 per day for subsequent violations. Furthermore, the board has established a dedicated call centre (1916) for citizens to report any misuse of water. BWSSB Chairman Ram Prasath Manohar urged citizens to report violations, and assured swift action by the board.

The order has raised several questions, including how the ban on misuse of potable water will be enforced.

Sources in the BWSSB said while citizens are encouraged to report violations in their areas, assistant engineers will tour their jurisdictions to look for and book offenders.

Why the order had some residents worried

The order has sparked some concern, especially among residents of independent houses that have no access to treated water. While large apartments have been mandated to install in-situ Sewage Treatment Plants (STPs) and have access to recycled water, there is no such facility in any independent house in Bengaluru.

This order from BWSSB comes a day after the Bengaluru Urban district administration capped the prices of water tankers at a maximum of ₹1,200 for a 12,000-litre load to be delivered within 10 km. However, the price cap too has raised concerns.

In most severely affected areas of south eastern Bengaluru and along Kanakapura Road, most water tanker dealers claim that most borewells in these areas have gone dry. They claim to be going as far as 20 km away one way to fetch water, and this is the norm in these areas now. Thus, the price cap offers little solace for those who have to bear skyrocketing tanker prices in these areas.",0,industrial
Nepal Earthquake 2015: Post Disaster Needs Assessment - Executive Summary - Nepal,"Background

Nepal is the 11th most earthquake-prone country in the world. Ever since the first recorded earthquake of 1255 AD that killed one-third of the population of the Kathmandu Valley and its King, Abhaya Malla, Nepal has experienced a major earthquake every few generations. The last great earthquake (of magnitude 8.4) in 1934 AD resulted in more than 10,000 deaths in the Kathmandu Valley. Most of the infrastructure and major heritage sites had to be rebuilt. There have since been earthquakes causing severe human and physical loss in 1980, 1988 and 2011.

On Saturday, 25 April 2015 at 11:56 local time, a 7.6 magnitude earthquake as recorded by Nepal’s National Seismological Centre (NSC), struck Barpak in the historic district of Gorkha, about 76 km northwest of Kathmandu. Nepal had not faced a natural shock of comparable magnitude for over 80 years. The catastrophic earthquake was followed by more than 300 aftershocks greater than magnitude 4.0 (as of 7 June 2015). Four aftershocks were greater than magnitude 6.0, including one measuring 6.8 which struck 17 days after the first big one with the epicentre near Mount Everest. To date, there are over 8,790 casualties and 22,300 injuries. It is estimated that the lives of eight million people, almost one-third of the population of Nepal, have been impacted by these earthquakes. Thirty-one of the country’s 75 districts have been affected, out of which 14 were declared ‘crisis-hit’ (see Figure 1) for the purpose of prioritizing rescue and relief operations; another 17 neighbouring districts are partially affected.

The destruction was widespread covering residential and government buildings, heritage sites, schools and health posts, rural roads, bridges, water supply systems, agricultural land, trekking routes, hydropower plants and sports facilities. The geodetic network centres including horizontal and vertical control points have been damaged in a manner that will affect reconstruction planning.

Rural areas in the central and western regions were particularly devastated and further isolated due to road damage and obstructions. In the worst hit areas, entire settlements, including popular tourist destinations like Langtang, were swept away by landslides and avalanches triggered by the earthquakes. Due to the weakened, ruptured, and destabilized slopes and surfaces, the vulnerable areas have now become even more susceptible to flooding and landslides that can occur during the monsoon.

Hundreds of historical and cultural monuments at least a century old were either destroyed or extensively damaged. Over half a million houses were destroyed. The damage exposed the weaknesses of houses that did not have any seismic-resistant features or were not in accordance with the building codes. The disaster also highlighted aspects of inequities in Nepali society spanning geography, income and gender. Poorer rural areas have been more adversely affected than towns and cities due to their inferior quality of houses. More women and girls died than men and boys, partly because of gendered roles that disproportionately assign indoor chores to women.

The time and day the first earthquake was experienced saved thousands of lives. Being a Saturday, the weekly holiday, schools across Nepal were closed on 25 April. The death toll of young people could have been much higher considering that nearly 7,000 schools were completely or significantly damaged. Similarly, if the earthquake had struck at night, and not in the middle of the day, there would certainly have been greater casualties.",0,natural
"10 Best Disaster Movies Set in a City, According to Rotten Tomatoes","Disaster films are prolific, popular, and genre-spanning — whether it’s an action-comedy or outright horror, there’s a movie to suit everyone. City-based disaster films are especially popular as they capture the everyday experiences. There’s a morbid thrill for viewers watching people just like themselves get blasted, frozen, flooded, or consumed by monsters. Even better if it’s a city everybody recognizes (which is why New York so often cops it).

Apart from being good fun, disaster films can also indicate how generations have processed natural disasters and global threats, such as San Francisco detailing the horrific 1906 California earthquake. They also capture social fears — The Day After and Threads reflect the Cold War era’s terror of nuclear conflict, and — more recently — The Day After Tomorrow, the fear of climate change.

10 ‘2012’ (2009)

Image via Columbia Pictures

Rotten Tomatoes Score: 39%

Roland Emmerich’s dazzling, wildly over-the-top 2012 is based on the premise that the ancient Mayan Calendar was right — the world is doomed to end in 2012. A range of characters, including a geologist, a Russian oligarch, a family, and the First Daughter, must race against time as the planet crumbles around them.

RELATED: 14 Best Disaster Movies of All Time, Ranked According to Letterboxd

2012 includes a volcano erupting in Yellowstone National Park, multiple tsunamis, and a spectacular sequence of Los Angeles literally sliding into the ocean. Critics praised the film’s glorious special effects but lamented its weak script and story.

9 ‘Deep Impact’ (1998)

Image via Paramount Pictures

Rotten Tomatoes Score: 43%

A massive comet, discovered by high school student Leo (Elijah Wood), is set to collide with Earth and create a near extinction-level event. A journalist (Téa Leoni) uncovers the story as the US President (Morgan Freeman) deploys astronauts to try and nuke the asteroid. The asteroid is broken into two parts, one lands in the ocean and creates a massive tsunami that sweeps over New York City.

Deep Impact suffered from being released the same summer as Michael Bay’sArmageddon, which despite receiving poor reviews, beat Deep Impact thoroughly at the box office.

8 ‘The Day After Tomorrow' (2004)

Rotten Tomatoes Score: 45%

Accelerated climate change sparks a new global ice age. The Northern Hemisphere is beset with freezing storms, trapping Sam (Jake Gyllenhaal) and his friends in a now-flooded New York. An ensemble of characters, including politicians, scientists, love interests, and poor-doomed-shmucks, grapple to survive on the now-freezing planet.

RELATED: From 'Into The Storm' to 'The Day After Tomorrow': 8 Movies Where The Weather Was In Control

​​​​The Day After Tomorrow was an admirable attempt to address the dangers of climate change (although the sketchy science may have further confused people). The film was praised by critics for its visual effects and acting performances (although not for its storyline and dialogue).

7 ‘Volcano’ (1997)

Image via Original Film

Rotten Tomatoes Score: 49%

What if there was a volcano underneath Los Angeles? This is the premise of Volcano, where an earthquake triggers a massive volcanic eruption deep beneath the city. Mike (Tommy Lee Jones) and Amy (Anne Heche) must work together to divert the deadly subway-lava into the ocean.

Volcano is big on flashy, thrilling spectacle (if low on actual science) and was one of two volcano-themed flicks to come out in 1997 (Dante’s Peak being the other). Critics found the film cheesy but good fun, but Volcano sadly didn't sizzle at the box office.

6 ‘Sharknado’ (2013)

Image via Syfy

Rotten Tomatoes Score: 74%

A hurricane from the ocean, laden with irate sharks, hits Los Angeles. Soon the city is flooded with seawater and killer sharks as surfer Fin and his friends battle for survival. The “sharknados” are finally vanquished with bombs dropped from a helicopter – but not before the toothy fiends latch on to the chopper for a final chomp.

RELATED: Shark Week: Why Do We Love Schlock Shark Movies?

This made-for-TV horror-comedy received surprisingly positive reviews, with Rotten Tomatoes' Critics Consensus stating the film is “proudly, shamelessly, and gloriously brainless.” Sharknado has become a cult favorite and spawned five sequels.

5 ‘Cloverfield’ (2008)

Rotten Tomatoes Score: 78%

Cloverfield is a found footage horror film following a group of young New Yorkers under attack from a giant, Godzilla-like monster. Framed as classified video recordings discovered by the military, the story follows Rob and his friends attempting to escape New York. The film ends with Rob and Beth in Central Park, just before the entire city is bombed by the military to kill the monster.

Critics praised Cloverfield as an original take on the monster movie with an effective, innovative use of the found footage genre. The film was a box office success, partly due to a savvy viral marketing campaign. Two more films set in the same universe as Cloverfield followed — 10 Cloverfield Lane and The Cloverfield Paradox. A fourth film in the franchise is in development.

4 ‘The Day After’ (1983)

Image via ABC

Rotten Tomatoes Score: 83%

The Day After is a made-for-TV film about a cataclysmic nuclear war and its effects on the citizens of Kansas City. In unflinching detail, the film follows a nuclear strike resulting in mass destruction and death, with millions injured or rapidly succumbing to radiation poisoning. Nearly all the film’s main characters are dead or dying by the end — with the rest of the world implied to be similarly afflicted.

RELATED: Best End of the World Movies, From 'Dr. Strangelove' to 'Mad Max'

Over 100 million people watched The Day After on its first broadcast. President Ronald Reagan attributed the film to helping shift US policies away from nuclear warfare. The film was broadcast internationally, including on Soviet television in 1987.

3 ‘These Final Hours’ (2013)

Rotten Tomatoes Score: 85%

A catastrophic firestorm from an asteroid will reach Perth, Western Australia, in 12 hours. The population erupts into panic, despair, and hedonistic partying. James (Nathan Phillips), a self-absorbed young man, intends to join the party — but ends up helping a lost 10-year-old girl (Angourie Rice) find her family. James reunites with his girlfriend on the beach just before the firestorm arrives.

Perth, one of the most isolated big cities in the world, is the perfect setting for an apocalypse film. Critics praised the harsh, aggressive tone of These Final Hours as making it distinct from other disaster movies.

2 ‘San Francisco’ (1936)

Image via MGM

Rotten Tomatoes Score: 92%

A nightclub singer is caught in a love triangle with a dashing saloon owner and a wealthy, respectable gentleman. The latter was conveniently killed off in the 1906 San Francisco earthquake, a real event that killed over 3000 people and destroyed most of the city.

RELATED: Best Disaster Movies of the 20th Century, From 'The Towering Inferno' to 'Titanic'

While mostly a musical melodrama, San Francisco helped set the template for the modern disaster film — with big stars (Clark Gable, Spencer Tracy, and Jeanette MacDonald), impressive special effects, and even a signature song. The earthquake sequence is surprisingly still thrilling to watch today, especially considering the film was made almost 90 years ago.

1 ‘Threads’ (1984)

Image via the BBC

Rotten Tomatoes Score: 100%

This British TV film is considered by many to be the most terrifying movie of all time. Threads, set in the Northern English city of Sheffield, was the UK’s sister film to The Day After. The film follows two ordinary families devastated by a nuclear war and the following agonizing decade of fallout, death, and decay. Our main character, Ruth (Karen Meagher), survives the blast but dies of malnutrition and cancer in a little more than a decade. Jane, her emotionally and intellectually stunted daughter, has a stillborn, deformed baby at 13.

Told in a pseudo-documentary style (like the earlier and equally controversial The War Game), Threads is unflinchingly bleak. The viewer watches Sheffield (and its residents) get blown to bits and then consumed by fire, fallout, and rats. No happy survival tropes exist in this cautionary disaster film, no heroes saving the day, no humanity — no hope.

KEEP READING: The Best Disaster Movies of the Last 10 Years",0,natural
"Fire breaks out in Gujarat’s Vapi, no casualties reported","A major fire broke out in a chemical company in Vapi in Gujarat’s Valsad district Friday morning. The incident took place in Supreet chemical company at Phase 3 in the Gujarat Industrial Development Corporation (GIDC).

The fire department officials brought the blaze under control after two hours of continuous firefighting. No casualties were reported.

The fire, which broke out Friday morning in the company’s old unit on the backside, extended and covered the front area and the new unit, the fire department officials said.

Advertisement

The officials said a blast also occurred inside the company, adding all the workers were outside the factory campus at the time and are safe.

“We brought the fire under control in just two hours and presently cooling activities are in progress,” said Vikas Mangela, the fire official of Vapi Nagar Palika.

“At present, no casualties have taken place, but once we complete the cooling activities and after checking inside, the exact situation will be learnt,” he added.

The company’s police staff also reached the spot on learning about the incident and collected details to find out the cause of fire.

Advertisement

Sources said the chemical company manufactures vast range of intermediates.",0,manmade
